model,Epoch,AgIoU,Precision,Recall,F1,MCC,Accuracy,AUC,PR-AUC,PCC,Brier,BCE
bconformer_1,94,0.6514,0.85,0.736,0.7889,0.7727,0.9657,0.9878,0.8987,0.8263,0.0261,0.0833
bconformer_2,104,0.6534,0.6955,0.9151,0.7903,0.7763,0.9578,0.9894,0.9078,0.8371,0.0247,0.0773
